"","part_id","contact","part_age","cutoff_contact","cutoff_contact_100"
"591","uk_G1_700872",2,"18-29",2,2
"592","uk_G1_700873",4,"40-49",4,4
"593","uk_G1_700874",1,"60-69",1,1
"594","uk_G1_700875",4,"30-39",4,4
"595","uk_G1_700876",14,"60-69",14,14
"596","uk_G1_700877",1,"30-39",1,1
"597","uk_G1_700878",3,"60-69",3,3
"598","uk_G1_700880",1,"50-59",1,1
"599","uk_G1_700881",5,"50-59",5,5
"600","uk_G1_700882",2,"70-120",2,2
"601","uk_G1_700884",3,"60-69",3,3
"602","uk_G1_700885",2,"50-59",2,2
"603","uk_G1_700887",4,"18-29",4,4
"604","uk_G1_700888",3,"60-69",3,3
"605","uk_G1_700889",1,"30-39",1,1
"606","uk_G1_700890",2,"50-59",2,2
"607","uk_G1_700891",2,"40-49",2,2
"608","uk_G1_700892",1,"50-59",1,1
"609","uk_G1_700893",3,"30-39",3,3
"610","uk_G1_700894",1,"60-69",1,1
"611","uk_G1_700895",3,"60-69",3,3
"612","uk_G1_700896",2,"50-59",2,2
"613","uk_G1_700897",3,"30-39",3,3
"614","uk_G1_700898",3,"40-49",3,3
"615","uk_G1_700899",3,"30-39",3,3
"616","uk_G1_700900",3,"40-49",3,3
"617","uk_G1_700901",2,"50-59",2,2
"618","uk_G1_700903",1,"60-69",1,1
"619","uk_G1_700904",2,"40-49",2,2
"620","uk_G1_700905",1,"50-59",1,1
"621","uk_G1_700906",2,"30-39",2,2
"622","uk_G1_700907",1,"30-39",1,1
"623","uk_G1_700908",3,"40-49",3,3
"624","uk_G1_700909",2,"18-29",2,2
"625","uk_G1_700910",2,"40-49",2,2
"626","uk_G1_700911",4,"30-39",4,4
"627","uk_G1_700913",5,"70-120",5,5
"628","uk_G1_700914",1,"60-69",1,1
"629","uk_G1_700915",6,"30-39",6,6
"630","uk_G1_700916",3,"30-39",3,3
"631","uk_G1_700917",5,"30-39",5,5
"632","uk_G1_700918",4,"50-59",4,4
"633","uk_G1_700919",16,"50-59",16,16
"634","uk_G1_700920",4,"50-59",4,4
"635","uk_G1_700921",3,"60-69",3,3
"636","uk_G1_700922",1,"30-39",1,1
"637","uk_G1_700923",2,"50-59",2,2
"638","uk_G1_700924",13,"40-49",13,13
"639","uk_G1_700925",1,"30-39",1,1
"640","uk_G1_700926",1,"50-59",1,1
"641","uk_G1_700927",4,"70-120",4,4
"642","uk_G1_700928",2,"30-39",2,2
"643","uk_G1_700930",2,"60-69",2,2
"644","uk_G1_700931",2,"60-69",2,2
"645","uk_G1_700932",4,"50-59",4,4
"646","uk_G1_700933",2,"60-69",2,2
"647","uk_G1_700934",3,"60-69",3,3
"648","uk_G1_700935",1,"30-39",1,1
"649","uk_G1_700936",1,"60-69",1,1
"650","uk_G1_700937",3,"50-59",3,3
"651","uk_G1_700938",2,"18-29",2,2
"652","uk_G1_700939",3,"60-69",3,3
"653","uk_G1_700940",1,"40-49",1,1
"654","uk_G1_700941",2,"60-69",2,2
"655","uk_G1_700942",6,"70-120",6,6
"656","uk_G1_700943",18,"70-120",18,18
"657","uk_G1_700944",11,"60-69",11,11
"658","uk_G1_700945",3,"50-59",3,3
"659","uk_G1_700946",4,"40-49",4,4
"660","uk_G1_700947",1,"70-120",1,1
"661","uk_G1_700948",1,"60-69",1,1
"662","uk_G1_700949",2,"30-39",2,2
"663","uk_G1_700950",5,"70-120",5,5
"664","uk_G1_700951",1,"60-69",1,1
"665","uk_G1_700952",3,"30-39",3,3
"666","uk_G1_700953",2,"60-69",2,2
"667","uk_G1_700954",2,"30-39",2,2
"668","uk_G1_700955",7,"40-49",7,7
"669","uk_G1_700957",2,"40-49",2,2
"670","uk_G1_700958",2,"60-69",2,2
"671","uk_G1_700959",2,"50-59",2,2
"672","uk_G1_700961",3,"50-59",3,3
"673","uk_G1_700962",8,"18-29",8,8
"674","uk_G1_700963",6,"40-49",6,6
"675","uk_G1_700964",2,"40-49",2,2
"676","uk_G1_700965",3,"18-29",3,3
"677","uk_G1_700966",2,"50-59",2,2
"678","uk_G1_700967",1,"50-59",1,1
"679","uk_G1_700968",3,"40-49",3,3
"680","uk_G1_700969",11,"18-29",11,11
"681","uk_G1_700970",4,"40-49",4,4
"682","uk_G1_700971",2,"40-49",2,2
"683","uk_G1_700972",4,"30-39",4,4
"684","uk_G1_700973",1,"50-59",1,1
"685","uk_G1_700975",1,"70-120",1,1
"686","uk_G1_700976",2,"40-49",2,2
"687","uk_G1_700979",2,"40-49",2,2
"688","uk_G1_700980",2,"60-69",2,2
"689","uk_G1_700981",2,"50-59",2,2
"690","uk_G1_700982",1,"40-49",1,1
"691","uk_G1_700983",1,"70-120",1,1
"692","uk_G1_700984",4,"40-49",4,4
"693","uk_G1_700985",3,"60-69",3,3
"694","uk_G1_700986",3,"18-29",3,3
"695","uk_G1_700987",2,"18-29",2,2
"696","uk_G1_700988",3,"30-39",3,3
"697","uk_G1_700989",1,"60-69",1,1
"698","uk_G1_700991",3,"30-39",3,3
"699","uk_G1_700992",3,"30-39",3,3
"700","uk_G1_700993",1,"70-120",1,1
"701","uk_G1_700994",3,"30-39",3,3
"702","uk_G1_700996",8,"50-59",8,8
"703","uk_G1_700997",1,"60-69",1,1
"704","uk_G1_700999",1,"70-120",1,1
"705","uk_G1_701000",1,"70-120",1,1
"706","uk_G1_701001",2,"30-39",2,2
"707","uk_G1_701002",1,"30-39",1,1
"708","uk_G1_701003",1,"60-69",1,1
"709","uk_G1_701004",2,"18-29",2,2
"710","uk_G1_701005",1,"60-69",1,1
"711","uk_G1_701007",1,"60-69",1,1
"712","uk_G1_701009",1,"60-69",1,1
"713","uk_G1_701010",3,"50-59",3,3
"714","uk_G1_701011",4,"50-59",4,4
"715","uk_G1_701012",2,"30-39",2,2
"716","uk_G1_701013",1,"50-59",1,1
"717","uk_G1_701014",1,"60-69",1,1
"718","uk_G1_701015",3,"60-69",3,3
"719","uk_G1_701018",1,"40-49",1,1
"720","uk_G1_701019",3,"30-39",3,3
"721","uk_G1_701020",2,"18-29",2,2
"722","uk_G1_701021",3,"18-29",3,3
"723","uk_G1_701022",6,"50-59",6,6
"724","uk_G1_701024",2,"50-59",2,2
"725","uk_G1_701025",120,"50-59",20,100
"726","uk_G1_701026",5,"60-69",5,5
"727","uk_G1_701027",4,"40-49",4,4
"728","uk_G1_701028",2,"60-69",2,2
"729","uk_G1_701029",1,"60-69",1,1
"730","uk_G1_701030",7,"40-49",7,7
"731","uk_G1_701033",1,"60-69",1,1
"732","uk_G1_701034",10,"40-49",10,10
"733","uk_G1_701036",2,"40-49",2,2
"734","uk_G1_701037",1,"50-59",1,1
"735","uk_G1_701038",1,"50-59",1,1
"736","uk_G1_701039",2,"40-49",2,2
"737","uk_G1_701040",3,"60-69",3,3
"738","uk_G1_701041",1,"60-69",1,1
"739","uk_G1_701044",1,"60-69",1,1
"740","uk_G1_701046",5,"30-39",5,5
"741","uk_G1_701047",2,"50-59",2,2
"742","uk_G1_701048",1,"60-69",1,1
"743","uk_G1_701049",2,"30-39",2,2
"744","uk_G1_701050",2,"40-49",2,2
"745","uk_G1_701051",1,"50-59",1,1
"746","uk_G1_701052",7,"50-59",7,7
"747","uk_G1_701053",1,"30-39",1,1
"748","uk_G1_701054",2,"60-69",2,2
"749","uk_G1_701055",3,"60-69",3,3
"750","uk_G1_701056",8,"60-69",8,8
"751","uk_G1_701058",1,"60-69",1,1
"752","uk_G1_701059",2,"60-69",2,2
"753","uk_G1_701062",3,"70-120",3,3
"754","uk_G1_701063",6,"18-29",6,6
"755","uk_G1_701066",10,"30-39",10,10
"756","uk_G1_701067",1,"18-29",1,1
"757","uk_G1_701069",3,"60-69",3,3
"758","uk_G1_701070",123,"30-39",20,100
"759","uk_G1_701071",1,"40-49",1,1
"760","uk_G1_701072",2,"50-59",2,2
"761","uk_G1_701073",4,"60-69",4,4
"762","uk_G1_701074",1,"60-69",1,1
"763","uk_G1_701075",3,"50-59",3,3
"764","uk_G1_701076",1,"50-59",1,1
"765","uk_G1_701077",3,"60-69",3,3
"766","uk_G1_701078",1,"70-120",1,1
"767","uk_G1_701079",5,"70-120",5,5
"768","uk_G1_701080",4,"18-29",4,4
"769","uk_G1_701081",8,"40-49",8,8
"770","uk_G1_701082",2,"40-49",2,2
"771","uk_G1_701083",1,"60-69",1,1
"772","uk_G1_701084",1,"60-69",1,1
"773","uk_G1_701085",1,"60-69",1,1
"774","uk_G1_701086",2,"18-29",2,2
"775","uk_G1_701087",9,"18-29",9,9
"776","uk_G1_701088",3,"50-59",3,3
"777","uk_G1_701092",1,"70-120",1,1
"778","uk_G1_701093",2,"18-29",2,2
"779","uk_G1_701095",1,"60-69",1,1
"780","uk_G1_701097",2,"60-69",2,2
"781","uk_G1_701098",1,"40-49",1,1
"782","uk_G1_701099",1,"60-69",1,1
"783","uk_G1_701102",1,"70-120",1,1
"784","uk_G1_701104",2,"70-120",2,2
"785","uk_G1_701105",2,"70-120",2,2
"786","uk_G1_701106",2,"50-59",2,2
"787","uk_G1_701107",1,"60-69",1,1
"788","uk_G1_701108",1,"70-120",1,1
"789","uk_G1_701109",1,"30-39",1,1
"790","uk_G1_701111",1,"50-59",1,1
"791","uk_G1_701112",4,"60-69",4,4
"792","uk_G1_701114",2,"50-59",2,2
"793","uk_G1_701115",2,"18-29",2,2
"794","uk_G1_701116",2,"70-120",2,2
"795","uk_G1_701118",1,"40-49",1,1
"796","uk_G1_701119",7,"70-120",7,7
"797","uk_G1_701121",3,"18-29",3,3
"798","uk_G1_701122",1,"60-69",1,1
"799","uk_G1_701123",3,"40-49",3,3
"800","uk_G1_701124",2,"60-69",2,2
"801","uk_G1_701126",2,"70-120",2,2
"802","uk_G1_701127",2,"70-120",2,2
"803","uk_G1_701128",1,"30-39",1,1
"804","uk_G1_701129",3,"50-59",3,3
"805","uk_G1_701130",1,"60-69",1,1
"806","uk_G1_701133",1,"70-120",1,1
"807","uk_G1_701134",1,"70-120",1,1
"808","uk_G1_701138",4,"60-69",4,4
"809","uk_G1_701139",1,"70-120",1,1
"810","uk_G1_701140",3,"70-120",3,3
"811","uk_G1_701141",1,"60-69",1,1
"812","uk_G1_701143",3,"30-39",3,3
"813","uk_G1_701144",3,"40-49",3,3
"814","uk_G1_701145",1,"18-29",1,1
"815","uk_G1_701146",1,"30-39",1,1
"816","uk_G1_701147",3,"70-120",3,3
"817","uk_G1_701148",8,"30-39",8,8
"818","uk_G1_701150",3,"40-49",3,3
"819","uk_G1_701151",2,"50-59",2,2
"820","uk_G1_701152",5,"18-29",5,5
"821","uk_G1_701153",3,"18-29",3,3
"822","uk_G1_701154",3,"60-69",3,3
"823","uk_G1_701155",6,"18-29",6,6
"824","uk_G1_701157",1,"18-29",1,1
"825","uk_G1_701158",2,"18-29",2,2
"826","uk_G1_701159",2,"18-29",2,2
"827","uk_G1_701160",3,"18-29",3,3
"828","uk_G1_701161",3,"18-29",3,3
"829","uk_G1_701162",3,"18-29",3,3
"830","uk_G1_701163",2,"18-29",2,2
"831","uk_G1_701164",3,"18-29",3,3
"832","uk_G1_701165",4,"18-29",4,4
"833","uk_G1_701166",1,"18-29",1,1
"834","uk_G1_701167",5,"30-39",5,5
"835","uk_G1_701168",3,"18-29",3,3
"836","uk_G1_701169",18,"18-29",18,18
"837","uk_G1_701171",3,"18-29",3,3
"838","uk_G1_701172",4,"18-29",4,4
"839","uk_G1_701173",3,"18-29",3,3
"840","uk_G1_701176",2,"40-49",2,2
"841","uk_G1_701177",7,"18-29",7,7
"842","uk_G1_701178",2,"18-29",2,2
"843","uk_G1_701179",1,"18-29",1,1
"844","uk_G1_701180",4,"18-29",4,4
"845","uk_G1_701181",4,"18-29",4,4
"846","uk_G1_701184",2,"18-29",2,2
"847","uk_G1_701185",8,"18-29",8,8
"848","uk_G1_701186",3,"18-29",3,3
"849","uk_G1_701187",1,"18-29",1,1
"850","uk_G1_701209",2,"18-29",2,2
"851","uk_G1_701219",6,"18-29",6,6
"852","uk_G1_701245",3,"18-29",3,3
"853","uk_G1_701250",2,"18-29",2,2
"854","uk_G1_701251",7,"18-29",7,7
"855","uk_G1_701281",29,"18-29",20,29
"856","uk_G1_701291",2,"18-29",2,2
"857","uk_G1_701292",1,"18-29",1,1
"858","uk_G1_701318",1,"18-29",1,1
"859","uk_G1_701340",4,"18-29",4,4
"860","uk_G1_701358",10,"18-29",10,10
"861","uk_G1_701376",5,"18-29",5,5
"862","uk_G1_701445",5,"18-29",5,5
"863","uk_G1_701447",3,"18-29",3,3
"864","uk_G1_701448",3,"18-29",3,3
"865","uk_G1_701449",2,"18-29",2,2
"866","uk_G1_701450",1,"18-29",1,1
"867","uk_G1_701453",1,"18-29",1,1
"868","uk_G1_701455",56,"18-29",20,56
"869","uk_G1_701456",5,"18-29",5,5
"870","uk_G1_701457",14,"18-29",14,14
"871","uk_G1_701458",3,"18-29",3,3
"872","uk_G1_701459",1,"18-29",1,1
"873","uk_G1_701460",8,"18-29",8,8
"874","uk_G1_701461",8,"18-29",8,8
"875","uk_G1_701462",1,"18-29",1,1
"876","uk_G1_701463",58,"18-29",20,58
"877","uk_G1_701465",3,"18-29",3,3
"878","uk_G1_701466",2,"18-29",2,2
"879","uk_G1_701468",39,"18-29",20,39
"880","uk_G1_701469",1,"18-29",1,1
"881","uk_G1_701471",2,"18-29",2,2
"882","uk_G1_701472",5,"18-29",5,5
"883","uk_G1_701473",2,"18-29",2,2
"884","uk_G1_701475",2,"18-29",2,2
"885","uk_G1_701476",10,"18-29",10,10
"886","uk_G1_701477",3,"18-29",3,3
"887","uk_G1_701479",3,"18-29",3,3
"888","uk_G1_701480",1,"18-29",1,1
"889","uk_G1_701481",320,"18-29",20,100
"890","uk_G1_701483",4,"18-29",4,4
"891","uk_G1_701484",12,"18-29",12,12
"892","uk_G1_701485",10,"18-29",10,10
"893","uk_G1_701487",5,"18-29",5,5
"894","uk_G1_701488",4,"18-29",4,4
"895","uk_G1_701490",7,"18-29",7,7
"896","uk_G1_701491",6,"18-29",6,6
"897","uk_G1_701492",9,"18-29",9,9
"898","uk_G1_701493",3,"18-29",3,3
"899","uk_G1_701494",1,"18-29",1,1
"900","uk_G1_701496",3,"18-29",3,3
"901","uk_G1_701497",1,"18-29",1,1
"902","uk_G1_701498",1,"18-29",1,1
"903","uk_G1_701501",6,"18-29",6,6
"904","uk_G1_701502",3,"18-29",3,3
"905","uk_G1_701503",1,"18-29",1,1
"906","uk_G1_701504",1,"18-29",1,1
"907","uk_G1_701505",9,"18-29",9,9
"908","uk_G1_701506",2,"18-29",2,2
"909","uk_G1_701507",8,"18-29",8,8
"910","uk_G1_701509",2,"60-69",2,2
"911","uk_G1_701511",6,"60-69",6,6
"912","uk_G1_701512",2,"70-120",2,2
"913","uk_G1_701513",7,"70-120",7,7
"914","uk_G1_701514",1,"50-59",1,1
"915","uk_G1_701515",2,"18-29",2,2
"916","uk_G1_701516",4,"50-59",4,4
"917","uk_G1_701517",2,"40-49",2,2
"918","uk_G1_701518",17,"30-39",17,17
"919","uk_G1_701521",2,"70-120",2,2
"920","uk_G1_701522",6,"30-39",6,6
"921","uk_G1_701524",3,"50-59",3,3
"922","uk_G1_701525",3,"18-29",3,3
"923","uk_G1_701526",4,"30-39",4,4
"924","uk_G1_701528",1,"40-49",1,1
"925","uk_G1_701529",1,"30-39",1,1
"926","uk_G1_701532",1,"40-49",1,1
"927","uk_G1_701533",1,"18-29",1,1
"928","uk_G1_701535",3,"30-39",3,3
"929","uk_G1_701537",4,"60-69",4,4
"930","uk_G1_701539",7,"60-69",7,7
"931","uk_G1_701540",1,"70-120",1,1
"932","uk_G1_701541",5,"50-59",5,5
"933","uk_G1_701542",1,"50-59",1,1
"934","uk_G1_701543",4,"30-39",4,4
"935","uk_G1_701546",5,"60-69",5,5
"936","uk_G1_701547",2,"30-39",2,2
"937","uk_G1_701548",1,"60-69",1,1
"938","uk_G1_701549",5,"50-59",5,5
"939","uk_G1_701550",5,"50-59",5,5
"940","uk_G1_701552",2,"40-49",2,2
"941","uk_G1_701553",1,"70-120",1,1
"942","uk_G1_701554",2,"60-69",2,2
"943","uk_G1_701555",3,"50-59",3,3
"944","uk_G1_701556",7,"50-59",7,7
"945","uk_G1_701557",3,"30-39",3,3
"946","uk_G1_701558",1,"70-120",1,1
"947","uk_G1_701560",4,"30-39",4,4
"948","uk_G1_701562",5,"70-120",5,5
"949","uk_G1_701564",3,"18-29",3,3
"950","uk_G1_701566",3,"18-29",3,3
"951","uk_G1_701568",4,"30-39",4,4
"952","uk_G1_701569",19,"50-59",19,19
"953","uk_G1_701573",3,"60-69",3,3
"954","uk_G1_701575",1,"60-69",1,1
"955","uk_G1_701576",161,"40-49",20,100
"956","uk_G1_701578",10,"50-59",10,10
"957","uk_G1_701580",1,"60-69",1,1
"958","uk_G1_701582",1,"60-69",1,1
"959","uk_G1_701583",4,"60-69",4,4
"960","uk_G1_701584",2,"60-69",2,2
"961","uk_G1_701585",1,"40-49",1,1
"962","uk_G1_701586",3,"40-49",3,3
"963","uk_G1_701589",2,"18-29",2,2
"964","uk_G1_701590",2,"50-59",2,2
"965","uk_G1_701592",20,"40-49",20,20
"966","uk_G1_701593",3,"50-59",3,3
"967","uk_G1_701595",1,"60-69",1,1
"968","uk_G1_701596",1,"70-120",1,1
"969","uk_G1_701599",3,"70-120",3,3
"970","uk_G1_701600",3,"30-39",3,3
"971","uk_G1_701602",2,"70-120",2,2
"972","uk_G1_701603",96,"30-39",20,96
"973","uk_G1_701604",1,"40-49",1,1
"974","uk_G1_701605",8,"30-39",8,8
"975","uk_G1_701606",2,"50-59",2,2
"976","uk_G1_701608",2,"30-39",2,2
"977","uk_G1_701609",3,"18-29",3,3
"978","uk_G1_701611",1,"60-69",1,1
"979","uk_G1_701612",1,"18-29",1,1
"980","uk_G1_701613",1,"50-59",1,1
"981","uk_G1_701614",3,"30-39",3,3
"982","uk_G1_701615",5,"50-59",5,5
"983","uk_G1_701616",2,"70-120",2,2
"984","uk_G1_701617",3,"50-59",3,3
"985","uk_G1_701618",3,"18-29",3,3
"986","uk_G1_701619",233,"50-59",20,100
"987","uk_G1_701621",9,"60-69",9,9
"988","uk_G1_701623",36,"40-49",20,36
"989","uk_G1_701624",8,"50-59",8,8
"990","uk_G1_701625",108,"40-49",20,100
"991","uk_G1_701626",12,"50-59",12,12
"992","uk_G1_701628",1,"70-120",1,1
"993","uk_G1_701629",4,"18-29",4,4
"994","uk_G1_701631",3,"60-69",3,3
"995","uk_G1_701632",18,"70-120",18,18
"996","uk_G1_701633",1,"60-69",1,1
"997","uk_G1_701635",6,"40-49",6,6
"998","uk_G1_701637",1,"30-39",1,1
"999","uk_G1_701638",1,"40-49",1,1
"1000","uk_G1_701639",1,"70-120",1,1
"1001","uk_G1_701641",1,"60-69",1,1
"1002","uk_G1_701642",1,"70-120",1,1
"1003","uk_G1_701643",4,"50-59",4,4
"1004","uk_G1_701644",3,"50-59",3,3
"1005","uk_G1_701645",4,"70-120",4,4
"1006","uk_G1_701646",1,"60-69",1,1
"1007","uk_G1_701647",1,"30-39",1,1
"1008","uk_G1_701648",3,"50-59",3,3
"1009","uk_G1_701650",17,"50-59",17,17
"1010","uk_G1_701651",1,"70-120",1,1
"1011","uk_G1_701652",2,"70-120",2,2
"1012","uk_G1_701653",2,"70-120",2,2
"1013","uk_G1_701656",1,"60-69",1,1
"1014","uk_G1_701657",5,"30-39",5,5
"1015","uk_G1_701659",2,"70-120",2,2
"1016","uk_G1_701660",4,"40-49",4,4
"1017","uk_G1_701663",1,"30-39",1,1
"1018","uk_G1_701664",1,"40-49",1,1
"1019","uk_G1_701666",2,"70-120",2,2
"1020","uk_G1_701667",1,"50-59",1,1
"1021","uk_G1_701668",1,"60-69",1,1
"1022","uk_G1_701669",1,"40-49",1,1
"1023","uk_G1_701670",4,"40-49",4,4
"1024","uk_G1_701671",1,"50-59",1,1
"1025","uk_G1_701672",11,"50-59",11,11
"1026","uk_G1_701673",3,"50-59",3,3
"1027","uk_G1_701674",6,"50-59",6,6
"1028","uk_G1_701675",1,"60-69",1,1
"1029","uk_G1_701677",1,"40-49",1,1
"1030","uk_G1_701679",3,"50-59",3,3
"1031","uk_G1_701680",1,"40-49",1,1
"1032","uk_G1_701681",1,"50-59",1,1
"1033","uk_G1_701683",3,"50-59",3,3
"1034","uk_G1_701684",1,"60-69",1,1
"1035","uk_G1_701687",9,"40-49",9,9
"1036","uk_G1_701688",1,"50-59",1,1
"1037","uk_G1_701689",2,"60-69",2,2
"1038","uk_G1_701692",1,"60-69",1,1
"1039","uk_G1_701693",1,"40-49",1,1
"1040","uk_G1_701694",6,"60-69",6,6
"1041","uk_G1_701695",2,"50-59",2,2
"1042","uk_G1_701696",3,"50-59",3,3
"1043","uk_G1_701697",3,"60-69",3,3
"1044","uk_G1_701700",2,"50-59",2,2
"1045","uk_G1_701701",3,"30-39",3,3
"1046","uk_G1_701702",6,"50-59",6,6
"1047","uk_G1_701705",3,"70-120",3,3
"1048","uk_G1_701707",2,"50-59",2,2
"1049","uk_G1_701708",1,"30-39",1,1
"1050","uk_G1_701710",3,"40-49",3,3
"1051","uk_G1_701711",4,"60-69",4,4
"1052","uk_G1_701712",7,"50-59",7,7
"1053","uk_G1_701713",6,"70-120",6,6
"1054","uk_G1_701715",4,"40-49",4,4
"1055","uk_G1_701716",7,"60-69",7,7
"1056","uk_G1_701717",1,"70-120",1,1
"1057","uk_G1_701718",3,"40-49",3,3
"1058","uk_G1_701719",1,"60-69",1,1
"1059","uk_G1_701720",1,"50-59",1,1
"1060","uk_G1_701721",21,"70-120",20,21
"1061","uk_G1_701722",1,"70-120",1,1
"1062","uk_G1_701723",2,"30-39",2,2
"1063","uk_G1_701724",2,"70-120",2,2
"1064","uk_G1_701725",1,"70-120",1,1
"1065","uk_G1_701726",8,"70-120",8,8
"1066","uk_G1_701727",2,"60-69",2,2
"1067","uk_G1_701728",3,"50-59",3,3
"1068","uk_G1_701729",1,"50-59",1,1
"1069","uk_G1_701731",4,"40-49",4,4
"1070","uk_G1_701732",3,"50-59",3,3
"1071","uk_G1_701733",1,"18-29",1,1
"1072","uk_G1_701734",2,"30-39",2,2
"1073","uk_G1_701735",1,"60-69",1,1
"1074","uk_G1_701737",1,"50-59",1,1
"1075","uk_G1_701738",1,"60-69",1,1
"1076","uk_G1_701740",1,"30-39",1,1
"1077","uk_G1_701741",5,"40-49",5,5
"1078","uk_G1_701742",3,"60-69",3,3
"1079","uk_G1_701743",1,"70-120",1,1
"1080","uk_G1_701744",1,"30-39",1,1
"1081","uk_G1_701745",1,"50-59",1,1
"1082","uk_G1_701746",3,"40-49",3,3
"1083","uk_G1_701747",3,"30-39",3,3
"1084","uk_G1_701748",1,"50-59",1,1
"1085","uk_G1_701749",3,"60-69",3,3
"1086","uk_G1_701750",6,"70-120",6,6
"1087","uk_G1_701753",2,"60-69",2,2
"1088","uk_G1_701755",1,"60-69",1,1
"1089","uk_G1_701756",2,"18-29",2,2
"1090","uk_G1_701758",1,"60-69",1,1
"1091","uk_G1_701761",4,"70-120",4,4
"1092","uk_G1_701762",3,"60-69",3,3
"1093","uk_G1_701763",3,"60-69",3,3
"1094","uk_G1_701764",51,"40-49",20,51
"1095","uk_G1_701765",1,"50-59",1,1
"1096","uk_G1_701766",1,"50-59",1,1
"1097","uk_G1_701767",2,"60-69",2,2
"1098","uk_G1_701768",2,"40-49",2,2
"1099","uk_G1_701769",1,"50-59",1,1
"1100","uk_G1_701770",4,"60-69",4,4
"1101","uk_G1_701772",1,"60-69",1,1
"1102","uk_G1_701773",2,"40-49",2,2
"1103","uk_G1_701774",2,"30-39",2,2
"1104","uk_G1_701775",1,"50-59",1,1
"1105","uk_G1_701776",1,"40-49",1,1
"1106","uk_G1_701777",2,"70-120",2,2
"1107","uk_G1_701779",2,"50-59",2,2
"1108","uk_G1_701781",1,"70-120",1,1
"1109","uk_G1_701782",3,"50-59",3,3
"1110","uk_G1_701783",1,"30-39",1,1
"1111","uk_G1_701784",1,"60-69",1,1
"1112","uk_G1_701786",2,"60-69",2,2
"1113","uk_G1_701787",2,"50-59",2,2
"1114","uk_G1_701788",1,"40-49",1,1
"1115","uk_G1_701789",1,"70-120",1,1
"1116","uk_G1_701790",1,"50-59",1,1
"1117","uk_G1_701791",2,"70-120",2,2
"1118","uk_G1_701795",3,"50-59",3,3
"1119","uk_G1_701796",1,"60-69",1,1
"1120","uk_G1_701799",3,"30-39",3,3
"1121","uk_G1_701800",3,"60-69",3,3
"1122","uk_G1_701802",1,"40-49",1,1
"1123","uk_G1_701804",2,"50-59",2,2
"1124","uk_G1_701805",4,"50-59",4,4
"1125","uk_G1_701806",1,"60-69",1,1
"1126","uk_G1_701809",3,"50-59",3,3
"1127","uk_G1_701810",2,"70-120",2,2
"1128","uk_G1_701811",2,"60-69",2,2
"1129","uk_G1_701812",2,"30-39",2,2
"1130","uk_G1_701813",3,"50-59",3,3
"1131","uk_G1_701814",5,"70-120",5,5
"1132","uk_G1_701815",1,"60-69",1,1
"1133","uk_G1_701816",1,"70-120",1,1
"1134","uk_G1_701817",1,"50-59",1,1
"1135","uk_G1_701818",53,"40-49",20,53
"1136","uk_G1_701819",2,"60-69",2,2
"1137","uk_G1_701820",1,"60-69",1,1
"1138","uk_G1_701821",1,"60-69",1,1
"1139","uk_G1_701822",1,"50-59",1,1
"1140","uk_G1_701823",7,"70-120",7,7
"1141","uk_G1_701824",5,"60-69",5,5
"1142","uk_G1_701825",1,"60-69",1,1
"1143","uk_G1_701827",1,"60-69",1,1
"1144","uk_G1_701828",2,"50-59",2,2
"1145","uk_G1_701829",8,"30-39",8,8
"1146","uk_G1_701830",1,"40-49",1,1
"1147","uk_G1_701832",2,"60-69",2,2
"1148","uk_G1_701833",4,"50-59",4,4
"1149","uk_G1_701834",3,"60-69",3,3
"1150","uk_G1_701836",3,"50-59",3,3
"1151","uk_G1_701838",1,"60-69",1,1
"1152","uk_G1_701839",1,"60-69",1,1
"1153","uk_G1_701841",2,"18-29",2,2
"1154","uk_G1_701842",6,"60-69",6,6
"1155","uk_G1_701843",1,"70-120",1,1
"1156","uk_G1_701846",4,"70-120",4,4
"1157","uk_G1_701847",6,"50-59",6,6
"1158","uk_G1_701848",1,"50-59",1,1
"1159","uk_G1_701850",10,"60-69",10,10
"1160","uk_G1_701851",1,"70-120",1,1
"1161","uk_G1_701852",6,"60-69",6,6
"1162","uk_G1_701853",1,"60-69",1,1
"1163","uk_G1_701854",3,"70-120",3,3
"1164","uk_G1_701855",1,"70-120",1,1
"1165","uk_G1_701857",1,"60-69",1,1
"1166","uk_G1_701858",1,"60-69",1,1
"1167","uk_G1_701859",37,"70-120",20,37
"1168","uk_G1_701860",2,"60-69",2,2
"1169","uk_G1_701861",42,"50-59",20,42
"1170","uk_G1_701862",4,"70-120",4,4
"1171","uk_G1_701863",4,"50-59",4,4
"1172","uk_G1_701864",8,"50-59",8,8
"1173","uk_G1_701865",8,"70-120",8,8
"1174","uk_G1_701866",1,"70-120",1,1
"1175","uk_G1_701867",4,"40-49",4,4
"1176","uk_G1_701869",3,"60-69",3,3
"1177","uk_G1_701870",10,"50-59",10,10
"1178","uk_G1_701871",9,"50-59",9,9
"1179","uk_G1_701872",4,"50-59",4,4
"1180","uk_G1_701873",6,"60-69",6,6
"1181","uk_G1_701874",4,"70-120",4,4
"1182","uk_G1_701875",3,"40-49",3,3
"1183","uk_G1_701876",127,"70-120",20,100
"1184","uk_G1_701877",6,"60-69",6,6
"1185","uk_G1_701878",3,"40-49",3,3
"1186","uk_G1_701880",2,"70-120",2,2
"1187","uk_G1_701881",2,"60-69",2,2
"1188","uk_G1_701882",1,"60-69",1,1
"1189","uk_G1_701883",4,"70-120",4,4
