"","part_id","contact","part_age","cutoff_contact","cutoff_contact_100"
"138","uk_G1_700228",1,"40-49",1,1
"139","uk_G1_700229",2,"60-69",2,2
"140","uk_G1_700230",2,"60-69",2,2
"141","uk_G1_700232",5,"50-59",5,5
"142","uk_G1_700233",5,"40-49",5,5
"143","uk_G1_700234",16,"40-49",16,16
"144","uk_G1_700235",3,"60-69",3,3
"145","uk_G1_700236",2,"18-29",2,2
"146","uk_G1_700237",6,"50-59",6,6
"147","uk_G1_700239",1,"30-39",1,1
"148","uk_G1_700241",8,"60-69",8,8
"149","uk_G1_700242",3,"60-69",3,3
"150","uk_G1_700243",3,"60-69",3,3
"151","uk_G1_700244",1,"40-49",1,1
"152","uk_G1_700245",1,"60-69",1,1
"153","uk_G1_700247",1,"70-120",1,1
"154","uk_G1_700248",4,"30-39",4,4
"155","uk_G1_700249",7,"40-49",7,7
"156","uk_G1_700250",1,"50-59",1,1
"157","uk_G1_700251",4,"60-69",4,4
"158","uk_G1_700252",2,"70-120",2,2
"159","uk_G1_700253",2,"60-69",2,2
"160","uk_G1_700254",1,"40-49",1,1
"161","uk_G1_700255",5,"50-59",5,5
"162","uk_G1_700256",3,"60-69",3,3
"163","uk_G1_700257",1,"70-120",1,1
"164","uk_G1_700258",2,"30-39",2,2
"165","uk_G1_700259",6,"50-59",6,6
"166","uk_G1_700260",1,"70-120",1,1
"167","uk_G1_700261",1,"70-120",1,1
"168","uk_G1_700263",5,"50-59",5,5
"169","uk_G1_700265",3,"60-69",3,3
"170","uk_G1_700267",6,"50-59",6,6
"171","uk_G1_700268",4,"50-59",4,4
"172","uk_G1_700269",2,"50-59",2,2
"173","uk_G1_700270",1,"50-59",1,1
"174","uk_G1_700273",1,"60-69",1,1
"175","uk_G1_700274",1,"50-59",1,1
"176","uk_G1_700275",1,"40-49",1,1
"177","uk_G1_700276",2,"60-69",2,2
"178","uk_G1_700277",1,"40-49",1,1
"179","uk_G1_700278",3,"50-59",3,3
"180","uk_G1_700279",1,"60-69",1,1
"181","uk_G1_700280",4,"70-120",4,4
"182","uk_G1_700281",1,"60-69",1,1
"183","uk_G1_700282",7,"60-69",7,7
"184","uk_G1_700283",1,"60-69",1,1
"185","uk_G1_700284",3,"50-59",3,3
"186","uk_G1_700285",3,"18-29",3,3
"187","uk_G1_700286",4,"40-49",4,4
"188","uk_G1_700288",6,"70-120",6,6
"189","uk_G1_700289",1,"30-39",1,1
"190","uk_G1_700290",4,"50-59",4,4
"191","uk_G1_700291",2,"50-59",2,2
"192","uk_G1_700293",4,"60-69",4,4
"193","uk_G1_700294",5,"50-59",5,5
"194","uk_G1_700295",8,"18-29",8,8
"195","uk_G1_700296",4,"40-49",4,4
"196","uk_G1_700297",4,"60-69",4,4
"197","uk_G1_700298",21,"50-59",20,21
"198","uk_G1_700299",2,"30-39",2,2
"199","uk_G1_700300",1,"30-39",1,1
"200","uk_G1_700301",2,"50-59",2,2
"201","uk_G1_700302",2,"70-120",2,2
"202","uk_G1_700303",4,"70-120",4,4
"203","uk_G1_700304",1,"40-49",1,1
"204","uk_G1_700305",1,"50-59",1,1
"205","uk_G1_700306",2,"60-69",2,2
"206","uk_G1_700307",1,"60-69",1,1
"207","uk_G1_700308",4,"60-69",4,4
"208","uk_G1_700310",3,"60-69",3,3
"209","uk_G1_700311",13,"60-69",13,13
"210","uk_G1_700312",4,"60-69",4,4
"211","uk_G1_700313",1,"50-59",1,1
"212","uk_G1_700314",4,"60-69",4,4
"213","uk_G1_700315",34,"70-120",20,34
"214","uk_G1_700316",2,"40-49",2,2
"215","uk_G1_700317",80,"50-59",20,80
"216","uk_G1_700318",7,"40-49",7,7
"217","uk_G1_700319",3,"50-59",3,3
"218","uk_G1_700322",7,"60-69",7,7
"219","uk_G1_700323",2,"50-59",2,2
"220","uk_G1_700324",3,"50-59",3,3
"221","uk_G1_700325",7,"30-39",7,7
"222","uk_G1_700326",3,"30-39",3,3
"223","uk_G1_700327",3,"40-49",3,3
"224","uk_G1_700328",9,"30-39",9,9
"225","uk_G1_700329",4,"50-59",4,4
"226","uk_G1_700330",6,"40-49",6,6
"227","uk_G1_700331",21,"50-59",20,21
"228","uk_G1_700332",79,"50-59",20,79
"229","uk_G1_700333",111,"18-29",20,100
"230","uk_G1_700334",1,"50-59",1,1
"231","uk_G1_700335",1,"40-49",1,1
"232","uk_G1_700336",2,"40-49",2,2
"233","uk_G1_700337",2,"60-69",2,2
"234","uk_G1_700338",2,"50-59",2,2
